Date,News_ID,Title
2020-01-01,1,My Trips to the Big Apple - Oberlin College and Conservatory
2020-01-01,2,Apple Deal Returns Former HBO Boss Richard Plepler to Spotlight (Published 2020) - The New York Times
2020-01-01,3,10 Incredibly Useful Things You Had No Idea Your Apple Watch Could Do - Inc.
2020-01-01,4,Using Apple Pay on Your iPhone - Dummies.com
2020-01-01,5,Apple reunites with iPhone graphics chip partner to license technology - The Verge
2020-01-02,1,The verdict: Cosmic Crisp vs. Honeycrisp - Produce Blue Book
2020-01-02,2,My Trips to the Big Apple - Oberlin College and Conservatory
2020-01-02,3,Apple Deal Returns Former HBO Boss Richard Plepler to Spotlight (Published 2020) - The New York Times
2020-01-02,4,"3 lessons from Apple Card: How FIs can deliver a frictionless, consumer-centric experience - ATM Marketplace"
2020-01-02,5,10 Incredibly Useful Things You Had No Idea Your Apple Watch Could Do - Inc.
2020-01-03,1,The verdict: Cosmic Crisp vs. Honeycrisp - Produce Blue Book
2020-01-03,2,"3 lessons from Apple Card: How FIs can deliver a frictionless, consumer-centric experience - ATM Marketplace"
2020-01-03,3,"Apple Watch Series 5 Vs 3 Review: Features, Specs, Screen Compared - Business Insider"
2020-01-03,4,Apple Puts In Rare Appearance At CES To Talk About Privacy - Forbes
2020-01-03,5,Apple posts fourth 'Shot on iPhone' Experiment featuring fire and ice - AppleInsider
2020-01-04,1,Apple posts fourth 'Shot on iPhone' Experiment featuring fire and ice - AppleInsider
2020-01-04,2,Does Cosmic Crisp live up to apple hype? - Times Herald-Record
2020-01-04,3,9 Apple AirPods tricks you’ll wish you knew before now - Fox News
2020-01-04,4,"Hey, Siri, The Witcher Is Causing Problems For Some Apple Users - CBR"
2020-01-04,5,Insider Reveals Apple’s Seventh New 2020 iPhone Model [Updated] - Forbes
2020-01-05,1,Ricky Gervais slams Apple over Chinese factories - BBC.com
2020-01-05,2,Ricky Gervais Joked About Apple 'Sweatshops' With Tim Cook in the Crowd at the Golden Globes - Inc.
2020-01-05,3,Around the World in Rare and Beautiful Apples - Atlas Obscura
2020-01-05,4,Why Amazon got smacked by Ricky Gervais' Golden Globes jab at Apple over labor practices - GeekWire
2020-01-05,5,These Are Apple's Top 5 Highest-Paid Executives - CRN
2020-01-06,1,Defining the decade: ten years of Apple on one page - 9to5Mac
2020-01-06,2,Apple and the FBI are poised for another battle over unlocking iPhones - CNBC
2020-01-06,3,Ricky Gervais slams Apple over Chinese factories - BBC.com
2020-01-06,4,Ricky Gervais Joked About Apple 'Sweatshops' With Tim Cook in the Crowd at the Golden Globes - Inc.
2020-01-06,5,Around the World in Rare and Beautiful Apples - Atlas Obscura
2020-01-07,1,Share your best iPhone Night mode photos - Apple Newsroom
2020-01-07,2,Defining the decade: ten years of Apple on one page - 9to5Mac
2020-01-07,3,Apple and the FBI are poised for another battle over unlocking iPhones - CNBC
2020-01-07,4,Apple rings in new era of Services following landmark year - Apple Newsroom
2020-01-07,5,FBI asks Apple to help gain access to iPhones owned by Pensacola gunman - USA TODAY
2020-01-08,1,Share your best iPhone Night mode photos - Apple Newsroom
2020-01-08,2,How Green Apple Books Has Blossomed in the Amazon Era - The Frisc
2020-01-08,3,Apple rings in new era of Services following landmark year - Apple Newsroom
2020-01-08,4,FBI asks Apple to help gain access to iPhones owned by Pensacola gunman - USA TODAY
2020-01-08,5,"How to use Apple Pay: the ultimate guide to paying with your iPhone, Apple Watch, Mac or iPad - CNBC"
2020-01-09,1,How Green Apple Books Has Blossomed in the Amazon Era - The Frisc
